[2024-12-01 15:51:32,783: INFO: main: Logging is implemented]
[2024-12-04 14:37:43,049: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-12-04 14:37:43,056: INFO: common: yaml file: params.yaml loaded successfully]
[2024-12-04 14:38:30,635: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-12-04 14:38:58,651: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-12-04 14:38:58,654: INFO: common: yaml file: params.yaml loaded successfully]
[2024-12-04 14:38:58,657: INFO: common: created directory at: artifacts]
[2024-12-04 14:38:58,659: INFO: common: created directory at: artifacts/data_ingestion]
[2024-12-04 14:38:59,757: INFO: 4079356255: File is donwloaded]
[2024-12-04 14:39:16,329: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-12-04 14:39:16,331: INFO: common: yaml file: params.yaml loaded successfully]
[2024-12-04 14:39:16,333: INFO: common: created directory at: artifacts]
[2024-12-04 14:39:16,334: INFO: common: created directory at: artifacts/data_ingestion]
[2024-12-04 14:39:16,335: INFO: 556183412: File already exists]
[2024-12-04 16:04:44,239: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-12-04 16:04:44,244: INFO: common: yaml file: params.yaml loaded successfully]
[2024-12-04 16:04:44,249: INFO: common: created directory at: artifacts]
[2024-12-04 16:04:44,252: INFO: common: created directory at: artifacts/data_ingestion]
[2024-12-04 16:04:44,256: INFO: 556183412: File already exists]
[2024-12-04 16:04:50,478: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-12-04 16:04:50,484: INFO: common: yaml file: params.yaml loaded successfully]
[2024-12-04 16:04:50,487: INFO: common: created directory at: artifacts]
[2024-12-04 16:04:50,490: INFO: common: created directory at: artifacts/data_ingestion]
[2024-12-04 16:04:50,491: INFO: 556183412: File already exists]
[2024-12-04 16:21:41,149: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-12-04 16:21:41,151: INFO: common: yaml file: params.yaml loaded successfully]
[2024-12-04 16:21:41,153: INFO: common: created directory at: artifacts]
[2024-12-04 16:21:41,155: INFO: common: created directory at: artifacts/data_ingestion]
[2024-12-04 16:21:41,156: INFO: 2241091367: File already exists.]
[2024-12-04 16:21:41,159: ERROR: 2241091367: Error: The file artifacts/data_ingestion/data.zip is not a valid ZIP file.]
[2024-12-04 16:34:21,903: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-12-04 16:34:21,907: INFO: common: yaml file: params.yaml loaded successfully]
[2024-12-04 16:34:21,910: INFO: common: created directory at: artifacts]
[2024-12-04 16:34:21,913: INFO: common: created directory at: artifacts/data_ingestion]
[2024-12-04 16:34:22,653: INFO: 2241091367: File is downloaded successfully.]
[2024-12-04 16:34:22,656: ERROR: 2241091367: Error: The file artifacts/data_ingestion/data.zip is not a valid ZIP file.]
[2024-12-04 16:38:33,939: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-12-04 16:38:33,942: INFO: common: yaml file: params.yaml loaded successfully]
[2024-12-04 16:38:33,943: INFO: common: created directory at: artifacts]
[2024-12-04 16:38:33,945: INFO: common: created directory at: artifacts/data_ingestion]
[2024-12-04 16:38:33,947: INFO: 2241091367: File already exists.]
